White,WhiteElo,Black,BlackElo,Result
palko213,1500,azzam2011,2114,White
migssxwz,2034,MASTER_EN,1871,White
dalcrozeee,1500,Nsetiadi,2266,White
Pitchoun92,1932,Realdish,1803,White
Nassreddine,834,Nsetiadi,2266,Black
williamtandika,1920,Mok43,1930,White
shaurma8642,929,Nsetiadi,2266,White
negrojudio284,1500,santoshome,2046,Black
PEDREROL,1165,Haider-Albayati,1329,White
Amirdostaneh,1500,zjy1,1132,White
Abrahamgrostur,1568,Agussupendi,1901,White
leonardodavinci-it,1718,tommygun999,1283,Black
mrsimons,1809,This_is_Ludwig,1500,Draw
dewa_kibulll,1624,gsuccessacad,2008,Black
drini93,1353,Sergey___Sergey,1506,White
sajeermk,1726,Abrahamgrostur,1568,Black
FrightTheKnight,1646,sajeermk,1726,White
felopater8,1124,Johnny1973,2007,Black
steveuct,1716,haesi0,1975,White
Norm53,2391,Mush329,2082,White
PEDREROL,1165,rahman4343,828,White
kneekitten,1534,Saqmadique,1541,Black
Manueltxo,2097,Amindenit,1977,Black
boki2505,2332,kuzmich_kogot_bobra,1500,White
Sniper_63,1962,kuzmich_kogot_bobra,1500,Black
Maksim_22,1500,sohny91,1842,White
Atauaupa,1719,Henry_Kl,1877,Black
Ljenkins0331,1747,TheSpider99,2084,White
bietihaben,2099,jamesmir89,1141,White
bishopthingy,2259,EdinaldoRoberto,1500,White
Leosiltis,2016,thomylight,1951,Black
lojjinn,1329,PhongNoPro_19,1366,White
ayush_sur,1218,akvksk,1739,Black
Pacodalocovato,925,asldasdl,1426,Black
gagagagagagagg,927,badawy015,2213,Black
murod0099,1399,Makimo_CX,1779,White
FaygoVibes,1764,nani4119,2175,Draw
GomaTech,1774,MisterJMK,1273,Black
emi_85,2146,Germancarlos,1500,White
Polyanskiy1210,1268,wollas,1600,Black
ismetaliyazan,2158,aenigmaticoxxx,1844,White
osiris1212,2506,boblach40,1665,White
empaycyruss,1487,Antonieta1,1732,Black
OpaPommes,2224,haythemszcz2,1074,White
Morgan123_MX,2281,Alexg1908,1266,White
Branbcro,1164,felixxs3,1500,Black
forcenifer,2142,MergusCerson,2184,Black
naim116,1449,Labeat,2133,White
coryh12345,1397,santanuchak,1721,White
kingwalklikeding,2523,miaoLOL,1432,White
alfil_negro13,1590,asumanco,1500,Black
Indeec-ru,1874,Rachid30,1637,White
betting12,2295,Ralf2705,1683,White
jamaltravmat,1500,carlodm2211,1500,Black
stephen_3000,2232,xxtimexx,1500,Black
AleksandrKus,1470,thekillerdoggy,1500,Black
issa3kun,2597,PetrovBluff,1208,White
akbarkarimi48,1500,heysurya,1303,White
orsoindomito,1441,xhirnx,2386,Black
bmk1234,1557,perakreca,1534,Black
ManthanBokde,1414,brandonhmwn,1088,Black
JennyZalez23,1687,RobertFisher16,1500,Black
MontanaGambit,1955,mariusmuller,1463,Draw
ChessyJokesMate,2143,Barabka,1866,White
Mladen64,1922,Captaincodd,1580,Black
kris9999,988,OzNeFerrari,1500,Black
sasha7272,1946,maximus1112,1176,Black
Darko13,1124,antique_1965,1799,Black
Bratushkov,1370,taha_ks,1476,White
fernandovillalba,1500,BigMoney_Schacharena,1022,Black
Quartzhill,2019,Drinfierno67,1500,Draw
Nijigajan,1912,santanuchak,1721,Black
PEDREROL,1165,Amirdostaneh,1500,White
Karpow3,1873,Ru2024,2389,Black
ILove2Mate,1631,My4ess,1435,White
My4ess,1435,DehawT,1851,Draw
WojciechKuczkowski,1770,Skif271,1874,Black
thebigusy,1482,boz808,1545,Black
DilpreetSeera,999,nafasebaba1393,1179,White
jefmi,1952,CanCrane,1500,Black
bimbonbu,1950,naim116,1449,White
Edelveis800,1301,alextihoretsk,2348,Black
Jess_Canapi,1513,lanetica,1642,White
coryh12345,1397,MazyBOY1990,2260,Black
